Quantity,Comment,Description,Footprint,Designator

"1","N-GMS","","N-GMS","B2"
"1","22pF","CAPACITOR","0603_cap","C1"
"6","100nF","CAPACITOR","0603_cap","C2, C3, C4, C5, C12, C15"
"1","18pF","CAPACITOR","0603_cap","C6"
"2","7pF","CAPACITOR","0603_cap","C7, C9"
"2","1uF/MLCC","CAPACITOR","0603_CAP","C8, C10"
"1","0.011F","","SUPERCAP  PAS3225P3R3113","C11"
"1","10uF/MLCC","CAPACITOR","0603_CAP","C14"
"1","NSR20F30NXT5G","DIODE","0603_DIODE-CASE_152AB","D1"
"6","NSR20F30NXT5G","DIODE","0603_DIODE-CDSU101A","D2, D3, D4, D5, D6, D7"
"1","USB-MINI-B","","USB-MINI-B-HIR-UX60A-MB-5ST","JP1"
"1","Header 5X2 1.27mm","Header, 5-Pin, Dual row","2x5-1.27mm-HARWIN-855-M50-3600542","JP2"
"1","HEADER-2","","1X02","JP3"
"1","HEADER_5","","1X05","JP4"
"1","LED_RED","","0603_LED_RED","LD1"
"1","LED_GRN","","0603_LED_GRN","LD2"
"1","LED_BLU","","0603_LED_BLU","LD3"
"8","10K","RESISTOR","0603_res","R1, R2, R3, R4, R5, R7, R8, R13"
"1","18K","RESISTOR","0603_res","R6"
"2","0R","RESISTOR","0603_res","R9, R10"
"1","620R","RESISTOR","0603_res","R11"
"2","470R","RESISTOR","0603_res","R12, R14"
"3","EVQ-P2202M","BUTTON TACTILE","BUTTON_4.7x3.5mm","SW1, SW2, SW3"
"1","LPC11U68JBD48","","SOT313-2_V","U1"
"1","TPS78233","","SOT23-5_0.95mm-NOSILK","U2"
"1","N-NODE24-20pin","","N-NODE24-20pins","U3"
"1","FC135-32.76KAA3","CRYSTAL","CRYSTAL-3.2x1.5","Y1"
"1","12MHz/10pF","CRYSTAL","CRY-SMD4-EPSON-FA238V","Y2"
